Reference, Value, Footprint, Datasheet
"U1","NJM2360","Housings_DIP:DIP-8_W7.62mm",""
"C2","0.1uF","Capacitors_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C3","1000pF","Capacitors_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C4","0.1uF","Capacitors_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"R7","0.15","Resistors_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal",""
"R1","680","Resistors_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",""
"R3","1k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R2","1k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"Q2","2SK3234","TO_SOT_Packages_THT:TO-220-3_Vertical",""
"Q1","2SA1015","TO_SOT_Packages_THT:TO-92_Inline_Narrow_Oval",""
"D2","1N4148","Diodes_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"D1","UF2010","Diodes_THT:D_DO-15_P5.08mm_Vertical_AnodeUp",""
"L1","470uH","NixiePowerSupply:Inductors_LHL13NB471K",""
"C5","4.7u_400V","Capacitors_THT:CP_Radial_D10.0mm_P5.00mm",""
"R4","470k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R6","2.2k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R5","VR_2K","NixiePowerSupply:VOL_3362P-1-202LF",""
"C1","100uF_16V","Capacitors_THT:CP_Radial_D5.0mm_P2.00mm",""
"J3","CONN_01X05","Pin_Headers:Pin_Header_Straight_1x05_Pitch2.54mm",""
"J2","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"U2","7805","TO_SOT_Packages_THT:TO-220-3_Vertical",""
"J1","BARREL_JACK","Connectors:BARREL_JACK",""
